Model,raf_db_macro_f1,raf_db_weighted_f1,ck_plus_macro_f1,ck_plus_weighted_f1
Simple Cnn,N/A,N/A,N/A,N/A
Poster V2,N/A,N/A,N/A,N/A
Libreface,N/A,N/A,N/A,N/A
